hashtag,date,n
#climateactioninyourarea,2021-10-28T11,0.29633333333333334
#climateactioninyourarea,2021-10-28T12,0.8563333333333333
#climateactioninyourarea,2021-10-28T13,1.3563333333333334
#climateactioninyourarea,2021-10-28T14,4.266666666666667
#climateactioninyourarea,2021-10-28T15,4.633333333333334
#climateactioninyourarea,2021-10-28T16,4.3133333333333335
#climateactioninyourarea,2021-10-28T17,1.68
#climateactioninyourarea,2021-10-28T18,0.6133333333333334
#climateactioninyourarea,2021-10-28T19,0.39033333333333337
#climateactioninyourarea,2021-10-28T20,0.16033333333333333
#climateactioninyourarea,2021-10-28T21,0.147
#climateactioninyourarea,2021-10-28T22,0.2333333333333333
#climateactioninyourarea,2021-10-28T23,0.17766666666666667
#climateactioninyourarea,2021-10-29T00,0.20766666666666667
#climateactioninyourarea,2021-10-29T01,0.27099999999999996
#climateactioninyourarea,2021-10-29T02,0.29333333333333333
#climateactioninyourarea,2021-10-29T03,0.27
#climateactioninyourarea,2021-10-29T04,0.19999999999999998
#climateactioninyourarea,2021-10-29T05,0.27
#climateactioninyourarea,2021-10-29T06,0.21
#climateactioninyourarea,2021-10-29T07,0.10666666666666667
#climateactioninyourarea,2021-10-29T08,0.0
#cop26glasgow,2021-10-24T08,76.33333333333333
#cop26glasgow,2021-10-24T09,145.66666666666666
#cop26glasgow,2021-10-24T10,147.66666666666666
#cop26glasgow,2021-10-24T11,164.0
#cop26glasgow,2021-10-24T12,154.33333333333334
#cop26glasgow,2021-10-24T13,158.33333333333334
#cop26glasgow,2021-10-24T14,176.33333333333334
#cop26glasgow,2021-10-24T15,159.0
#cop26glasgow,2021-10-24T16,174.0
#cop26glasgow,2021-10-24T17,135.0
#cop26glasgow,2021-10-24T18,148.0
#cop26glasgow,2021-10-24T19,148.66666666666666
#cop26glasgow,2021-10-24T20,148.33333333333334
#cop26glasgow,2021-10-24T21,145.66666666666666
#cop26glasgow,2021-10-24T22,106.33333333333333
#cop26glasgow,2021-10-24T23,77.33333333333333
#cop26glasgow,2021-10-25T00,32.666666666666664
#cop26glasgow,2021-10-25T01,24.666666666666668
#cop26glasgow,2021-10-25T02,20.333333333333332
#cop26glasgow,2021-10-25T03,22.0
#cop26glasgow,2021-10-25T04,31.666666666666668
#cop26glasgow,2021-10-25T05,41.333333333333336
#cop26glasgow,2021-10-25T06,73.66666666666667
#cop26glasgow,2021-10-25T07,96.66666666666667
#cop26glasgow,2021-10-25T08,122.0
#cop26glasgow,2021-10-25T09,112.0
#cop26glasgow,2021-10-25T10,122.66666666666667
#cop26glasgow,2021-10-25T11,128.66666666666666
#cop26glasgow,2021-10-25T12,152.33333333333334
#cop26glasgow,2021-10-25T13,157.0
#cop26glasgow,2021-10-25T14,154.33333333333334
#cop26glasgow,2021-10-25T15,147.33333333333334
#cop26glasgow,2021-10-25T16,151.66666666666666
#cop26glasgow,2021-10-25T17,158.66666666666666
#cop26glasgow,2021-10-25T18,160.66666666666666
#cop26glasgow,2021-10-25T19,175.33333333333334
#cop26glasgow,2021-10-25T20,184.33333333333334
#cop26glasgow,2021-10-25T21,177.33333333333334
#cop26glasgow,2021-10-25T22,179.33333333333334
#cop26glasgow,2021-10-25T23,136.0
#cop26glasgow,2021-10-26T00,111.66666666666667
#cop26glasgow,2021-10-26T01,58.0
#cop26glasgow,2021-10-26T02,53.333333333333336
#cop26glasgow,2021-10-26T03,54.0
#cop26glasgow,2021-10-26T04,66.0
#cop26glasgow,2021-10-26T05,95.66666666666667
#cop26glasgow,2021-10-26T06,134.0
#cop26glasgow,2021-10-26T07,160.66666666666666
#cop26glasgow,2021-10-26T08,174.66666666666666
#cop26glasgow,2021-10-26T09,184.33333333333334
#cop26glasgow,2021-10-26T10,202.33333333333334
#cop26glasgow,2021-10-26T11,206.66666666666666
#cop26glasgow,2021-10-26T12,180.33333333333334
#cop26glasgow,2021-10-26T13,172.33333333333334
#cop26glasgow,2021-10-26T14,168.0
#cop26glasgow,2021-10-26T15,174.66666666666666
#cop26glasgow,2021-10-26T16,239.0
#cop26glasgow,2021-10-26T17,236.0
#cop26glasgow,2021-10-26T18,237.33333333333334
#cop26glasgow,2021-10-26T19,160.0
#cop26glasgow,2021-10-26T20,152.33333333333334
#cop26glasgow,2021-10-26T21,140.66666666666666
#cop26glasgow,2021-10-26T22,112.66666666666667
#cop26glasgow,2021-10-26T23,87.0
#cop26glasgow,2021-10-27T00,63.0
#cop26glasgow,2021-10-27T01,49.0
#cop26glasgow,2021-10-27T02,49.333333333333336
#cop26glasgow,2021-10-27T03,63.333333333333336
#cop26glasgow,2021-10-27T04,73.33333333333333
#cop26glasgow,2021-10-27T05,88.0
#cop26glasgow,2021-10-27T06,110.33333333333333
#cop26glasgow,2021-10-27T07,123.66666666666667
#cop26glasgow,2021-10-27T08,126.0
#cop26glasgow,2021-10-27T09,122.0
#cop26glasgow,2021-10-27T10,115.33333333333333
#cop26glasgow,2021-10-27T11,124.0
#cop26glasgow,2021-10-27T12,101.33333333333333
#cop26glasgow,2021-10-27T13,101.66666666666667
#cop26glasgow,2021-10-27T14,102.33333333333333
#cop26glasgow,2021-10-27T15,127.33333333333333
#cop26glasgow,2021-10-27T16,144.33333333333334
#cop26glasgow,2021-10-27T17,131.33333333333334
#cop26glasgow,2021-10-27T18,128.66666666666666
#cop26glasgow,2021-10-27T19,121.33333333333333
#cop26glasgow,2021-10-27T20,121.33333333333333
#cop26glasgow,2021-10-27T21,103.66666666666667
#cop26glasgow,2021-10-27T22,82.33333333333333
#cop26glasgow,2021-10-27T23,68.33333333333333
#cop26glasgow,2021-10-28T00,71.0
#cop26glasgow,2021-10-28T01,70.0
#cop26glasgow,2021-10-28T02,62.666666666666664
#cop26glasgow,2021-10-28T03,46.333333333333336
#cop26glasgow,2021-10-28T04,43.666666666666664
#cop26glasgow,2021-10-28T05,62.666666666666664
#cop26glasgow,2021-10-28T06,82.66666666666667
#cop26glasgow,2021-10-28T07,134.0
#cop26glasgow,2021-10-28T08,147.0
#cop26glasgow,2021-10-28T09,158.33333333333334
#cop26glasgow,2021-10-28T10,147.33333333333334
#cop26glasgow,2021-10-28T11,158.33333333333334
#cop26glasgow,2021-10-28T12,192.33333333333334
#cop26glasgow,2021-10-28T13,174.0
#cop26glasgow,2021-10-28T14,179.33333333333334
#cop26glasgow,2021-10-28T15,131.66666666666666
#cop26glasgow,2021-10-28T16,130.33333333333334
#cop26glasgow,2021-10-28T17,107.0
#cop26glasgow,2021-10-28T18,132.33333333333334
#cop26glasgow,2021-10-28T19,163.0
#cop26glasgow,2021-10-28T20,168.33333333333334
#cop26glasgow,2021-10-28T21,142.66666666666666
#cop26glasgow,2021-10-28T22,89.33333333333333
#cop26glasgow,2021-10-28T23,58.333333333333336
#cop26glasgow,2021-10-29T00,66.0
#cop26glasgow,2021-10-29T01,109.0
#cop26glasgow,2021-10-29T02,128.66666666666666
#cop26glasgow,2021-10-29T03,110.33333333333333
#cop26glasgow,2021-10-29T04,95.66666666666667
#cop26glasgow,2021-10-29T05,112.33333333333333
#cop26glasgow,2021-10-29T06,171.33333333333334
#cop26glasgow,2021-10-29T07,223.33333333333334
#cop26glasgow,2021-10-29T08,174.33333333333334
#covid19,2021-10-24T08,100.33333333333333
#covid19,2021-10-24T09,136.0
#covid19,2021-10-24T10,101.66666666666667
#covid19,2021-10-24T11,84.33333333333333
#covid19,2021-10-24T12,65.0
#covid19,2021-10-24T13,55.666666666666664
#covid19,2021-10-24T14,43.666666666666664
#covid19,2021-10-24T15,37.666666666666664
#covid19,2021-10-24T16,36.0
#covid19,2021-10-24T17,39.0
#covid19,2021-10-24T18,41.0
#covid19,2021-10-24T19,43.0
#covid19,2021-10-24T20,38.333333333333336
#covid19,2021-10-24T21,34.0
#covid19,2021-10-24T22,23.333333333333332
#covid19,2021-10-24T23,12.666666666666666
#covid19,2021-10-25T00,5.333333333333333
#covid19,2021-10-25T01,3.3333333333333335
#covid19,2021-10-25T02,3.0
#covid19,2021-10-25T03,2.6666666666666665
#covid19,2021-10-25T04,3.0
#covid19,2021-10-25T05,9.666666666666666
